paper_id,author,year,genus,species,genus_species,annual_perennial,growth_form,habitat_type,sample_country,sample_continent,sites_sampled,strain_source,num_nodules,num_plants,genbank,genetic_region,strain_richness,compares_homeaway,proportion_novel_strains,proportion_familiar_strains,compares_natinv,proportion_overlapping_strains,num_spp_compared,notes
21,Andronov et al,2003,Galega,officinalis,Galega_officinalis,perennial,herb,,Russia,AS,17,field nodules,54,999,0,AFLP,33,0,999,999,0,999,999,"AFLP with ITS, nb1, nb2, nb3, nb4, nb5; same number of AFLP IDed strains, but larger differences for orientalis than offilinalis"
21,Andronov et al,2003,Galega,officinalis,Galega_officinalis,perennial,herb,,Russia,AS,17,field nodules,54,999,0,16S,1,0,999,999,0,999,999,
21,Andronov et al,2003,Galega,officinalis,Galega_officinalis,perennial,herb,,Russia,AS,17,field nodules,54,999,0,RFLP_ITS,6,0,999,999,0,999,999,
21,Andronov et al,2003,Galega,officinalis,Galega_officinalis,perennial,herb,,Russia,AS,17,field nodules,54,999,0,RFLP_nodb1,3,0,999,999,0,999,999,
21,Andronov et al,2003,Galega,officinalis,Galega_officinalis,perennial,herb,,Russia,AS,17,field nodules,54,999,0,RFLP_nodb3,1,0,999,999,0,999,999,
21,Andronov et al,2003,Galega,officinalis,Galega_officinalis,perennial,herb,,Russia,AS,17,field nodules,54,999,0,RFLP_nodb4,1,0,999,999,0,999,999,
21,Andronov et al,2003,Galega,officinalis,Galega_officinalis,perennial,herb,,Russia,AS,17,field nodules,54,999,0,RFLP_nodb5,2,0,999,999,0,999,999,
21,Andronov et al,2003,Galega,orientalis,Galega_orientalis,perennial,herb,,Russia,AS,10,field nodules,47,999,0,AFLP,33,0,999,999,0,999,999,"AFLP with ITS, nb1, nb2, nb3, nb4, nb5; same number of AFLP IDed strains, but larger differences for orientalis than offilinalis"
21,Andronov et al,2003,Galega,orientalis,Galega_orientalis,perennial,herb,,Russia,AS,10,field nodules,47,999,0,16S,1,0,999,999,0,999,999,
21,Andronov et al,2003,Galega,orientalis,Galega_orientalis,perennial,herb,,Russia,AS,10,field nodules,47,999,0,RFLP_ITS,18,0,999,999,0,999,999,
21,Andronov et al,2003,Galega,orientalis,Galega_orientalis,perennial,herb,,Russia,AS,10,field nodules,47,999,0,RFLP_nodb1,6,0,999,999,0,999,999,
21,Andronov et al,2003,Galega,orientalis,Galega_orientalis,perennial,herb,,Russia,AS,10,field nodules,47,999,0,RFLP_nodb3,4,0,999,999,0,999,999,
21,Andronov et al,2003,Galega,orientalis,Galega_orientalis,perennial,herb,,Russia,AS,10,field nodules,47,999,0,RFLP_nodb4,3,0,999,999,0,999,999,
21,Andronov et al,2003,Galega,orientalis,Galega_orientalis,perennial,herb,,Russia,AS,10,field nodules,47,999,0,RFLP_nodb5,4,0,999,999,0,999,999,
22,Andrus et al,2012,Mimosa,diplotricha,Mimosa_diplotricha,perennial,woody,,Philippines,AS,2,field nodules,11,999,1,nifH,1,0,999,999,0,999,999,
22,Andrus et al,2012,Mimosa,diplotricha,Mimosa_diplotricha,perennial,woody,,Philippines,AS,2,field nodules,11,999,1,nodA,1,0,999,999,0,999,999,
22,Andrus et al,2012,Mimosa,diplotricha,Mimosa_diplotricha,perennial,woody,,Philippines,AS,2,field nodules,11,999,1,23S,2,0,999,999,0,999,999,
22,Andrus et al,2012,Mimosa,diplotricha,Mimosa_diplotricha,perennial,woody,,Philippines,AS,2,field nodules,11,999,1,recA,2,0,999,999,0,999,999,
22,Andrus et al,2012,Mimosa,diplotricha,Mimosa_diplotricha,perennial,woody,,Philippines,AS,2,field nodules,11,999,1,rpoB,2,0,999,999,0,999,999,
22,Andrus et al,2012,Mimosa,pudica,Mimosa_pudica,perennial,woody,,Philippines,AS,2,field nodules,11,999,1,nifH,2,0,999,999,0,999,999,
22,Andrus et al,2012,Mimosa,pudica,Mimosa_pudica,perennial,woody,,Philippines,AS,2,field nodules,11,999,1,nodA,2,0,999,999,0,999,999,
22,Andrus et al,2012,Mimosa,pudica,Mimosa_pudica,perennial,woody,,Philippines,AS,2,field nodules,11,999,1,23S,4,0,999,999,0,999,999,
22,Andrus et al,2012,Mimosa,pudica,Mimosa_pudica,perennial,woody,,Philippines,AS,2,field nodules,11,999,1,recA,5,0,999,999,0,999,999,
22,Andrus et al,2012,Mimosa,pudica,Mimosa_pudica,perennial,woody,,Philippines,AS,2,field nodules,11,999,1,rpoB,6,0,999,999,0,999,999,
22,Andrus et al,2012,Mimosa,pudica,Mimosa_pudica,perennial,woody,,Costa_Rica,NA,1,field nodules,11,999,1,nifH,1,0,999,999,0,999,999,
22,Andrus et al,2012,Mimosa,pudica,Mimosa_pudica,perennial,woody,,Costa_Rica,NA,1,field nodules,11,999,1,nodA,3,0,999,999,0,999,999,
22,Andrus et al,2012,Mimosa,pudica,Mimosa_pudica,perennial,woody,,Costa_Rica,NA,1,field nodules,11,999,1,23S,6,0,999,999,0,999,999,
22,Andrus et al,2012,Mimosa,pudica,Mimosa_pudica,perennial,woody,,Costa_Rica,NA,1,field nodules,11,999,1,recA,5,0,999,999,0,999,999,
22,Andrus et al,2012,Mimosa,pudica,Mimosa_pudica,perennial,woody,,Costa_Rica,NA,1,field nodules,11,999,1,rpoB,7,0,999,999,0,999,999,
23,Aoki et al,2010,Lathyrus,japonicus,Lathyrus_japonicus,perennial,herb,,Japan,AS,4,field nodules,61,20,0,RAPD,10,0,999,999,0,999,999,M13 primer
23,Aoki et al,2010,Lathyrus,japonicus,Lathyrus_japonicus,perennial,herb,,Japan,AS,4,field nodules,61,20,0,RFLP_ITS,10,0,999,999,0,999,999,
23,Aoki et al,2010,Lathyrus,japonicus,Lathyrus_japonicus,perennial,herb,,Japan,AS,4,field nodules,61,20,1,16S,3,0,999,999,0,999,999,
23,Aoki et al,2010,Lathyrus,japonicus,Lathyrus_japonicus,perennial,herb,,Japan,AS,4,field nodules,61,20,1,recA,7,0,999,999,0,999,999,
23,Aoki et al,2010,Lathyrus,japonicus,Lathyrus_japonicus,perennial,herb,,Japan,AS,4,field nodules,61,20,1,nodBC,3,0,999,999,0,999,999,
23,Aoki et al,2010,Lathyrus,japonicus,Lathyrus_japonicus,perennial,herb,,Canada,NA,1,field nodules,2,999,0,RAPD,2,0,999,999,0,999,999,M13 primer
23,Aoki et al,2010,Lathyrus,japonicus,Lathyrus_japonicus,perennial,herb,,Canada,NA,1,field nodules,2,999,0,RFLP_ITS,2,0,999,999,0,999,999,
23,Aoki et al,2010,Lathyrus,japonicus,Lathyrus_japonicus,perennial,herb,,Canada,NA,1,field nodules,2,999,1,16S,2,0,999,999,0,999,999,
23,Aoki et al,2010,Lathyrus,japonicus,Lathyrus_japonicus,perennial,herb,,Canada,NA,1,field nodules,2,999,1,recA,2,0,999,999,0,999,999,
23,Aoki et al,2010,Lathyrus,japonicus,Lathyrus_japonicus,perennial,herb,,Canada,NA,1,field nodules,2,999,1,nodBC,1,0,999,999,0,999,999,
24,Crisostomo et al,2013,Acacia,longifolia,Acacia_longifolia,perennial,woody,,Australia,AU,3,field nodules,61,36,0,BOX_PCR,17,0,999,999,1,0.59,1,
24,Crisostomo et al,2013,Acacia,longifolia,Acacia_longifolia,perennial,woody,,Australia,AU,3,field nodules,61,36,1,16S,9,0,999,999,1,0.11,1,
24,Crisostomo et al,2013,Acacia,longifolia,Acacia_longifolia,perennial,woody,,Australia,AU,3,field nodules,61,36,1,nifD,5,0,999,999,1,0,1,
24,Crisostomo et al,2013,Acacia,saligna,Acacia_saligna,perennial,woody,,Portugal,EU,5,field nodules,112,32,0,BOX_PCR,35,0,999,999,0,999,999,
24,Crisostomo et al,2013,Acacia,saligna,Acacia_saligna,perennial,woody,,Australia,AU,3,field nodules,58,36,0,BOX_PCR,23,0,999,999,1,0.43,1,
24,Crisostomo et al,2013,Acacia,saligna,Acacia_saligna,perennial,woody,,Portugal,EU,5,field nodules,112,32,1,16S,27,0,999,999,0,999,999,
24,Crisostomo et al,2013,Acacia,saligna,Acacia_saligna,perennial,woody,,Australia,AU,3,field nodules,58,36,1,16S,12,0,999,999,1,0.08,1,
24,Crisostomo et al,2013,Acacia,saligna,Acacia_saligna,perennial,woody,,Portugal,EU,5,field nodules,112,32,1,nifD,12,0,999,999,0,999,999,
24,Crisostomo et al,2013,Acacia,saligna,Acacia_saligna,perennial,woody,,Australia,AU,3,field nodules,58,36,1,nifD,7,0,999,999,1,0,1,
25,Armas-Capote et al,2013,Cicer,canariense,Cicer_canariense,perennial,herb,,Canary_Islands,AF,10,field nodules,38,999,1,RFLP_16S,7,0,999,999,0,999,999,"also did soil trapping, see below"
25,Armas-Capote et al,2013,Cicer,canariense,Cicer_canariense,perennial,herb,,Canary_Islands,AF,10,soil trapping,75,999,1,RFLP_16S,8,0,999,999,0,999,999,"also did field nodule collection, see above"
