old_genus_species,new_name,cultivation.status,notes,Plant.Name.Index
Trigonella suavissima,Trigonella suavissima,row crop,,TRUE
Ulex europaeus,Ulex europaeus,multiple,,TRUE
Ulex europeaus,Ulex europeaus,,,FALSE
Hedysarum crinita,Uraria crinita,multiple,,TRUE
Uraria lagopoides,Uraria lagopodoides,not cultivated,,TRUE
Uraria lagopodoides,Uraria lagopodoides,,,TRUE
Vicia amoena,Vicia amoena,not cultivated,,TRUE
Vicia bungei,Vicia bungei,not cultivated,,TRUE
Vicia cracca,Vicia cracca,rangeland/pastureland,,TRUE
Vicia faba,Vicia faba,row crop,,TRUE
Vicia hirsuta,Vicia hirsuta,row crop,,TRUE
Vicia lathyroides,Vicia lathyroides,not cultivated,,TRUE
Vicia angustifolia,Vicia sativa,rangeland/pastureland,,TRUE
Vicia sativa,Vicia sativa,rangeland/pastureland,,TRUE
Vicia sepium,Vicia sepium,rangeland/pastureland,,TRUE
Vicia spp,Vicia spp,,,FALSE
Vicia tetrasperma,Vicia tetrasperma,not cultivated,,TRUE
Vicia tibetica,Vicia tibetica,not cultivated,,TRUE
Vicia villosa,Vicia villosa,multiple,,TRUE
Vigna lanceolata,Vigna lanceolata,row crop,,TRUE
Vigna mungo,Vigna mungo,,,TRUE
Vigna radiata,Vigna radiata,row crop,,TRUE
Vigna trilobata,Vigna trilobata,rangeland/pastureland,,TRUE
Vigna unguiculata,Vigna unguiculata,row crop,,TRUE
Virgilia oroboides,Virgilia oroboides,ornamental,,TRUE
Wallaceodendron celebicum,Wallaceodendron celebicum,multiple,,TRUE
Wisteria floribunda,Wisteria floribunda,ornamental,,TRUE
Wisteria sinensis,Wisteria sinensis,ornamental,,TRUE
Xylia xylocarpa,Xylia xylocarpa,not cultivated,,TRUE
Zornia glochidiata,Zornia glochidiata,rangeland/pastureland,,TRUE
Zygophyllum dumosum,Zygophyllum dumosum,not cultivated,,TRUE
