paper_id,author,year,journal,clean_name,sample country,paper_plant_status,global_plant_status,Figure 2,Figure 3,Figure 4,Figure 5,title
204,Pongslip and Nuntagij,2009,American-Eurasian Journal of Agricultural and Environmental Science,Pueraria candollei,Thailand,Native,Native,X,,,,"Genetic diversity and metabolites production of root-nodule bacteria isolated from medicinal legumes Indigofera tinctoria, Pueraria mirifica, and Derris elliptica Benth. Grown in different geographic origins across Thailand"
213,Rincon-Rosales et al,2009,FEMS Microbiology Ecology,Acacia angustissima,Mexico,Native,Non-Native,X,,,,"Rhizobia with different symbiotic efficiencies nodulate Acaciella angustissima in Mexico, including Sinorhizobium chiapanecum sp. Nov. which has common symbiotic genes with Sinorhizobium mexicanum"
224,Ruiz-Diez et al,2009,Archives of Microbiology,Retama sphaerocarpa,Spain,Native,Native,X,,,,"Stress tolerance, genetic analysis and symbiotic properties of root-nodulating bacteria isolated from Mediterranean leguminous shrubs in Central Spain"
261,Vidal et al,2009,International Journal of Systematic and Evolutionary Microbiology,Anthyllis vulneraria,France,Native,Non-Native,X,,,,"Mesorhizobium metallidurns sp. Nov., a metal-resistant symbiont of Anthyllis vulneraria growing on metallicolous soil in Languedoc, France"
277,Wei et al,2009,FEMS Microbiology Ecology,Robinia pseudoacacia,China,Native,Non-Native,,X,,,Invasive Robinia pseudoacacia in china is nodulated by Mesorhizobium and Sinorhizobium species that share similar nodulation genes with native American symbionts
275,Wei et al,2009,Systematic and Applied Microbiology,Alhagi sparsifolia,China,Native,Native,X,,,,A new clade of Mesohrizobium nodulating Alhagi sparsifolia
23,Aoki et al,2010,Systematic and Applied Microbiology,Lathyrus japonicus,Japan,Native,Non-Native,X,,,,Genotypic and phenotypic diversity of rhizobia isolated from Lathyrus japonicus indigenous to Japan
38,Baymiev et al,2010,Microbiology,Caragana arborescens,Russia,Native,Non-Native,X,,X,,Influence of the Introduction of Caragana arborescens on the Composition of Its Root Nodule Bacteria
68,Chen et al,2010,International Journal of Systematic and Evolutionary Microbiology,Alhagi sparsifolia,China,Native,Native,X,,,,"Mesorhizobium alhagi sp. nov., isolated from wild Alhagi sparsifolia in north-western China"
143,Kumari et al,2010,Malaysian Journal of Microbiology,Indigofera astragalina,India,Native,Native,X,,,,"Studies on nodulation, biochemical analysis and protein profiles of Rhizobium isolated from Indigofera species"
143,Kumari et al,2010,Malaysian Journal of Microbiology,Indigofera colutea,India,Native,Non-Native,X,,,,"Studies on nodulation, biochemical analysis and protein profiles of Rhizobium isolated from Indigofera species"
143,Kumari et al,2010,Malaysian Journal of Microbiology,Indigofera linnaei,India,Native,Native,X,,,,"Studies on nodulation, biochemical analysis and protein profiles of Rhizobium isolated from Indigofera species"
143,Kumari et al,2010,Malaysian Journal of Microbiology,Indigofera parviflora,India,Native,Non-Native,X,,,,"Studies on nodulation, biochemical analysis and protein profiles of Rhizobium isolated from Indigofera species"
143,Kumari et al,2010,Malaysian Journal of Microbiology,Indigofera trita,India,Native,Non-Native,X,,,,"Studies on nodulation, biochemical analysis and protein profiles of Rhizobium isolated from Indigofera species"
164,Lorite et al,2010,Systematic and Applied Microbiology,Lotus arinagensis,Canary Islands,Native,Native,X,,,,Lotus endemic to the Canary Islands are nodulated by diverse and novel rhizobial species and symbiotypes
164,Lorite et al,2010,Systematic and Applied Microbiology,Lotus callis-viridis,Canary Islands,Native,Native,X,,,,Lotus endemic to the Canary Islands are nodulated by diverse and novel rhizobial species and symbiotypes
164,Lorite et al,2010,Systematic and Applied Microbiology,Lotus kunkelii,Canary Islands,Native,Native,X,,,,Lotus endemic to the Canary Islands are nodulated by diverse and novel rhizobial species and symbiotypes
164,Lorite et al,2010,Systematic and Applied Microbiology,Lotus sessilifolius,Canary Islands,Native,Native,X,,,,Lotus endemic to the Canary Islands are nodulated by diverse and novel rhizobial species and symbiotypes
217,Rodriquez-Echeverria,2010,Journal of Biogeography,Acacia longifolia,Portugal,Non-Native,Non-Native,X,,X,X,Rhizobial hitchhikers from down under: invasional meltdown in a plant-bacteria mutualism
217,Rodriquez-Echeverria,2010,Journal of Biogeography,Cytisus grandiflorus,Portugal,Native,Native,X,,,X,Rhizobial hitchhikers from down under: invasional meltdown in a plant-bacteria mutualism
217,Rodriquez-Echeverria,2010,Journal of Biogeography,Cytisus scoparius,Portugal,Native,Non-Native,X,,X,X,Rhizobial hitchhikers from down under: invasional meltdown in a plant-bacteria mutualism
