paper_id,author,year,journal,clean_name,sample country,paper_plant_status,global_plant_status,Figure 2,Figure 3,Figure 4,Figure 5,title
105,Gerding et al,2012,Plant and Soil,Lessertia capitata,South Africa,Native,Native,X,,,,Diverse Mesorhizobium spp. With unique nodA nodulating the South African legume species of the genus Lessertia
105,Gerding et al,2012,Plant and Soil,Lessertia diffusa,South Africa,Native,Native,X,,,,Diverse Mesorhizobium spp. With unique nodA nodulating the South African legume species of the genus Lessertia
105,Gerding et al,2012,Plant and Soil,Lessertia excisa,South Africa,Native,Native,X,,,,Diverse Mesorhizobium spp. With unique nodA nodulating the South African legume species of the genus Lessertia
105,Gerding et al,2012,Plant and Soil,Lessertia frutescens,South Africa,Native,Non-Native,X,,,,Diverse Mesorhizobium spp. With unique nodA nodulating the South African legume species of the genus Lessertia
105,Gerding et al,2012,Plant and Soil,Lessertia herbacea,South Africa,Native,Native,X,,,,Diverse Mesorhizobium spp. With unique nodA nodulating the South African legume species of the genus Lessertia
105,Gerding et al,2012,Plant and Soil,Lessertia microphylla,South Africa,Native,Native,X,,,,Diverse Mesorhizobium spp. With unique nodA nodulating the South African legume species of the genus Lessertia
116,Hassen et al,2012,Biology and Fertility of Soils,Aspalathus linearis,South Africa,Native,Native,X,,,,"Nodulation of rooibos (Aspalathus linearis Burm. f.), an indigenous South African legume, by members of both the _-Proteobacteria and the _-Proteobacteria"
130,Kanu and Dakora,2012,Soil Biology and Biochemistry,Psoralea aphylla,South Africa,Native,Non-Native,X,,,,"Symbiotic nitrogen contribution and biodiversity of root-nodule bacteria nodulating Psoralea species in the Cape Fynbos, South Africa"
130,Kanu and Dakora,2012,Soil Biology and Biochemistry,Psoralea monophylla,South Africa,Native,Native,X,,,,"Symbiotic nitrogen contribution and biodiversity of root-nodule bacteria nodulating Psoralea species in the Cape Fynbos, South Africa"
130,Kanu and Dakora,2012,Soil Biology and Biochemistry,Psoralea pinnata,South Africa,Native,Non-Native,X,,,,"Symbiotic nitrogen contribution and biodiversity of root-nodule bacteria nodulating Psoralea species in the Cape Fynbos, South Africa"
153,Li et al,2012,Systematic and Applied Microbiology,Caragana korshinskii,China,Native,Native,X,,,,"Genetic diversity, community structure and distribution of rhizobia in the root nodules of Caragana spp. From arid and semi-arid alkaline deserts, in the north of china"
162,Liu et al,2012,New Zealand Plant Protection,Galega officinalis,New Zealand,Non-Native,Non-Native,X,,X,,Characterisation of rhizobia nodulating Galega officinalis (goat's rue) and Hedysarum coronarium (sulla)
162,Liu et al,2012,New Zealand Plant Protection,Hedysarum coronarium,New Zealand,Non-Native,Non-Native,X,,,,Characterisation of rhizobia nodulating Galega officinalis (goat's rue) and Hedysarum coronarium (sulla)
165,Lorite et al,2012,FEMS Microbiology Ecology,Lotus pedunculatus,Portugal,Native,Non-Native,X,,,,Phylogenetic relationship of Lotus uliginosus symbionts with bradyrhizobia nodulating genistoid legumes
179,Mishra et al,2012,FEMS Microbiology Ecology,Mimosa pudica,French Guiana,Native,Non-Native,X,,X,,Genetic diversity of Mimosa pudica rhizobial symbions in soils of French Guiana: investigating the origin of diversity of Burkholderia phymatum and other beta-rhizobia
202,Qin et al,2012,Archives of Microbiology,Sphaerophysa salsula,China,Native,Non-Native,X,,,,"Rhizobiu helanshanense sp. nov., a bacterium that nodulates Sphaerophysa salsula (Pall.) DC. In china"
208,Qin et al,2012,Archives of Microbiology,Sphaerophysa salsula,China,Native,Non-Native,X,,,,"Rhizobium helanshanense sp. Nov., a bacterium that nodulates Sphaerophysa salsula (Pall.) DC. In China"
209,Rejili et al,2012,"Agriculture, ecosystems and environment",Hedysarum spinosissimum,Tunisia,Native,Non-Native,X,,,,"Symbiotic nitrogen fixation of wild legumes in Tunisia: soil fertility dynamics, field nodulation and nodules effectiveness"
209,Rejili et al,2012,"Agriculture, ecosystems and environment",Lotus creticus,Tunisia,Native,Non-Native,X,,,,"Symbiotic nitrogen fixation of wild legumes in Tunisia: soil fertility dynamics, field nodulation and nodules effectiveness"
