paper_id,author,year,journal,clean_name,sample_country,paper_plant_status,global_plant_status,Figure 2,Figure 3,Figure 4,Figure 5
217,Rodriquez-Echeverria,2010,Journal of Biogeography,Acacia longifolia,Portugal,nonnative,nonnative,1,,1,1
217,Rodriquez-Echeverria,2010,Journal of Biogeography,Cytisus grandiflorus,Portugal,native,native,1,,,1
217,Rodriquez-Echeverria,2010,Journal of Biogeography,Cytisus scoparius,Portugal,native,nonnative,1,,1,1
217,Rodriquez-Echeverria,2010,Journal of Biogeography,Ulex europaeus,Portugal,native,nonnative,1,,,1
235,Shiraishi et al,2010,Systematic and Applied Microbiology,Robinia pseudoacacia,Japan,nonnative,nonnative,1,,,
247,Teiceira et al,2010,Brazilian Journal of Microbiology,Calliandra depauperata,Brazil,native,native,1,,,
247,Teiceira et al,2010,Brazilian Journal of Microbiology,Cratylia mollis,Brazil,native,native,1,,,
247,Teiceira et al,2010,Brazilian Journal of Microbiology,Mimosa tenuiflora,Brazil,native,native,1,,,
292,Zhao et al,2010,Systematic and Applied Microbiology,Sophora alopecuroides,China,native,nonnative,1,,,
287,Zhou et al,2010,International Journal of Systematic and Evolutionary Microbiology,Robinia pseudoacacia,China,nonnative,nonnative,1,,,
13,Ampomah and Huss-Danell,2011,Applied and Environmental Microbiology,Thermopsis lupinoides,Russia,native,native,1,,,
12,Ampomah and Huss-Danell,2011,Systematic and Applied Microbiology,Anthyllis vulneraria,Sweden,native,nonnative,1,,,
12,Ampomah and Huss-Danell,2011,Systematic and Applied Microbiology,Lotus corniculatus,Sweden,native,nonnative,1,,1,
48,Callaway et al,2011,Ecology,Robinia pseudoacacia,United_States,native,nonnative,,1,,
48,Callaway et al,2011,Ecology,Robinia pseudoacacia,Czech_Republic-France-Georgia-Hungary-Italy-Romania-Spain,nonnative,nonnative,,1,,
60,Chahboune et al,2011,International Journal of Systematic and Evolutionary Microbiology,Cytisus villosus,Morocco,native,nonnative,1,,,
79,De Meyer et al,2011,Soil Biology and Biochemistry,Cytisus scoparius,Belgium,native,nonnative,1,,1,1
79,De Meyer et al,2011,Soil Biology and Biochemistry,Lathyrus pratensis,Belgium,native,nonnative,1,,1,1
79,De Meyer et al,2011,Soil Biology and Biochemistry,Lotus corniculatus,Belgium,native,nonnative,1,,1,1
79,De Meyer et al,2011,Soil Biology and Biochemistry,Lotus pedunculatus,Belgium,native,nonnative,1,,,1
79,De Meyer et al,2011,Soil Biology and Biochemistry,Lupinus polyphyllus,Belgium,nonnative,nonnative,1,,,1
79,De Meyer et al,2011,Soil Biology and Biochemistry,Medicago lupulina,Belgium,native,nonnative,1,,,1
79,De Meyer et al,2011,Soil Biology and Biochemistry,Melilotus indicus,Belgium,native,nonnative,1,,,1
79,De Meyer et al,2011,Soil Biology and Biochemistry,Melilotus officinalis,Belgium,native,nonnative,1,,,1
79,De Meyer et al,2011,Soil Biology and Biochemistry,Ononis spinosa,Belgium,native,nonnative,1,,,1
79,De Meyer et al,2011,Soil Biology and Biochemistry,Ornithopus perpusillus,Belgium,native,nonnative,1,,,1
79,De Meyer et al,2011,Soil Biology and Biochemistry,Robinia pseudoacacia,Belgium,nonnative,nonnative,1,,,1
79,De Meyer et al,2011,Soil Biology and Biochemistry,Securigera varia,Belgium,nonnative,nonnative,1,,,1
79,De Meyer et al,2011,Soil Biology and Biochemistry,Trifolium arvense,Belgium,native,nonnative,1,,,1
79,De Meyer et al,2011,Soil Biology and Biochemistry,Trifolium campestre,Belgium,native,nonnative,1,,,1
79,De Meyer et al,2011,Soil Biology and Biochemistry,Trifolium dubium,Belgium,native,nonnative,1,,,1
79,De Meyer et al,2011,Soil Biology and Biochemistry,Trifolium hybridum,Belgium,nonnative,nonnative,1,,,1
79,De Meyer et al,2011,Soil Biology and Biochemistry,Trifolium pratense,Belgium,native,nonnative,1,,,1
79,De Meyer et al,2011,Soil Biology and Biochemistry,Trifolium repens,Belgium,native,nonnative,1,,,1
79,De Meyer et al,2011,Soil Biology and Biochemistry,Vicia cracca,Belgium,native,nonnative,1,,,1
79,De Meyer et al,2011,Soil Biology and Biochemistry,Vicia sativa,Belgium,native,nonnative,1,,,1
79,De Meyer et al,2011,Soil Biology and Biochemistry,Vicia sepium,Belgium,native,nonnative,1,,,1
79,De Meyer et al,2011,Soil Biology and Biochemistry,Vicia tetrasperma,Belgium,native,nonnative,1,,,1
84,Deng et al,2011,FEMS Microbioly Ecology,Sphaerophysa salsula,China,native,nonnative,1,,,
85,Djedidi et al,2011,Microbes and Environments,Medicago intertexta,Tunisia,native,nonnative,1,,,
85,Djedidi et al,2011,Microbes and Environments,Medicago minima,Tunisia,native,nonnative,1,,,
85,Djedidi et al,2011,Microbes and Environments,Medicago polymorpha,Tunisia,native,nonnative,1,,,
100,Fterich et al,2011,Archives of Microbiology,Prosopis farcta,Tunisia,native,native,1,,,
118,Hoque et al,2011,International Journal of Systematic and Evolutionary Microbiology,Acacia salicina,Australia,native,nonnative,1,,,
118,Hoque et al,2011,International Journal of Systematic and Evolutionary Microbiology,Acacia stenophylla,Australia,native,nonnative,1,,,
126,Kaiwei et al,2011,,Leucaena leucocephala,China,nonnative,nonnative,1,,1,
160,Lui et al,2011,Interantional Journal of Systematic and Evolutionary Microbiology,Mimosa diplotricha,China,nonnative,nonnative,1,,,
160,Lui et al,2011,Interantional Journal of Systematic and Evolutionary Microbiology,Mimosa pudica,China,nonnative,nonnative,1,,,
189,Ourarhi et al,2011,Archives of Microbiology,Colutea arborescens,Morocco,native,nonnative,1,,,
203,Perrineau et al,2011,Systematic and Applied Microbiology,Acacia mangium,Brazil,nonnative,nonnative,1,,,
219,Rodriguez-Echeverria et al,2011,Diversity and Distributions,Acacia dealbata,Australia,native,nonnative,1,,,
219,Rodriguez-Echeverria et al,2011,Diversity and Distributions,Acacia pycnantha,Australia,native,nonnative,1,,,
219,Rodriguez-Echeverria et al,2011,Diversity and Distributions,Acacia saligna,Australia,native,nonnative,1,,1,
