paper_id,author,year,clean_name,plant_status,sample_country
113,Han et al,2008,Vicia sativa,native,China
171,Mahdhi et al,2008,Retama raetam,native,Tunisia
198,Prin et al,2008,Amphimas pterocarpoides,native,Guinea
198,Prin et al,2008,Aubrevillea platycarpa,native,Guinea
198,Prin et al,2008,Chidlowia sanguinea,native,Guinea
198,Prin et al,2008,Tetrapleura tetraptera,native,Guinea
212,Rincon et al,2008,Ononis tridentata,native,Spain
276,Wei et al,2008,Astragalus adsurgens,native,China
276,Wei et al,2008,Astragalus complanatus,native,China
276,Wei et al,2008,Lespedeza cyrtobotrya,native,China
296,Zhao et al,2008,Astragalus adsurgens,native,China
296,Zhao et al,2008,Astragalus dahuricus,native,China
296,Zhao et al,2008,Astragalus melilotoides,native,China
296,Zhao et al,2008,Astragalus propinquus,native,China
296,Zhao et al,2008,Astragalus scaberrimus,native,China
10,Alvarez-Martinez et al,2009,Vicia sativa,native,Spain
93,Estrella et al,2009,Lotus tenuis,introduced,Argentina
96,Farida et al,2009,Retama raetam,native,Algeria
