paper_id,author,year,clean_name,plant_status,sample_country
67,Chen et al,2013,Astragalus efoliolatus,native,China
67,Chen et al,2013,Astragalus kifonsanicus,native,China
67,Chen et al,2013,Astragalus lepsensis,native,China
67,Chen et al,2013,Astragalus propinquus,native,China
67,Chen et al,2013,Astragalus scaberrimus,native,China
67,Chen et al,2013,Astragalus tibetanus,native,China
71,Cobo-Diaz et al,2013,Genista versicolor,native,Spain
24,Crisostomo et al,2013,Acacia longifolia,native,Australia
24,Crisostomo et al,2013,Acacia saligna,introduced,Portugal
24,Crisostomo et al,2013,Acacia saligna,introduced,Australia
81,De Meyer et al,2013,Lebeckia ambigua,native,South_Africa
82,De Meyer et al,2013,Rhynchosia ferulifolia,native,South_Africa
92,Duran et al,2013,Lupinus mariae-josephae,native,Spain
51,Gehlot et al,2013,Mimosa hamata,native,India
51,Gehlot et al,2013,Mimosa himalayana,native,India
51,Gehlot et al,2013,Mimosa pudica,introduced,India
111,Guerrouj et al,2013,Medicago arborea,introduced,Morocco
120,Howieson et al,2013,Lebeckia ambigua,native,South_Africa
131,Kaplan et al,2013,Zygophyllum dumosum,native,Israel
147,Latif et al,2013,Trifolium pratense,native,Pakistan
147,Latif et al,2013,Trifolium repens,native,Pakistan
177,Melkonian et al,2013,Mimosa pudica,introduced,Guinea
177,Melkonian et al,2013,Mimosa pudica,introduced,Australia
184,Moukoumi et al,2013,Caragana arborescens,introduced,Canada
206,Ramirez-Bahena et al,2013,Centrosema macrocarpum,native,Venezuela
214,Ricon-Rosales et al,2013,Calliandra houstoniana,native,Mexico
284,Yang et al,2013,Securigera varia,introduced,China
7,Ahnia et al,2014,Cytisus villosus,native,Algeria
32,Bakhoum et al,2014,Acacia senegal,native,Senegal
34,Barauna et al,2014,Centrolobium paraense,native,Brazil
45,Boudiaf et al,2014,Acacia mearnsii,introduced,Algeria
69,Chen et al,2014,Arachis duranensis,introduced,China
73,da Silva et al,2014,Inga laurina,native,Brazil
75,de Freitas et al,2014,Mimosa paraibana,native,Brazil
75,de Freitas et al,2014,Mimosa tenuiflora,native,Brazil
106,Gnat at al,2014,Astragalus glycyphyllos,native,Poland
52,Hassen et al,2014,Indigofera hirsuta,native,South_Africa
149,Le Roux et al,2014,Pterocarpus officinalis,native,Dominica
149,Le Roux et al,2014,Pterocarpus officinalis,native,French_Guiana
149,Le Roux et al,2014,Pterocarpus officinalis,native,Guadeloupe
149,Le Roux et al,2014,Pterocarpus officinalis,native,Martinique
149,Le Roux et al,2014,Pterocarpus officinalis,native,Puerto_Rico
305,Liu et al,2014,Dipogon lignosus,introduced,New_Zealand
220,Rodriguez-Echeverria et al,2014,Retama sphaerocarpa,native,Spain
73,da Silva et al,2015,Inga laurina,native,Brazil
73,da Silva et al,2016,Inga laurina,native,Brazil
327,Li et al,2016,Sesbania cannabina,native,China
73,da Silva et al,2017,Inga laurina,native,Brazil
323,Harrison et al,2017,Medicago lupulina,introduced,Canada
73,da Silva et al,2018,Inga laurina,native,Brazil
325,Huang,2018,Crotalaria trichotoma,introduced,Taiwan
73,da Silva et al,2019,Inga laurina,native,Brazil
73,da Silva et al,2020,Inga laurina,native,Brazil
329,Lui et al,2020,Mimosa diplotricha,introduced,China
329,Lui et al,2020,Mimosa pudica,introduced,China
322,Chouhan et al,2022,Leucaena leucocephala,introduced,India
324,Hsouna et al,2022,Acacia saligna,introduced,Tunisia
